trial_number,load_condition,change_condition,tested_position
1,0,change,1
2,0,change,2
3,0,change,3
4,0,change,4
5,0,no_change,1
6,0,no_change,2
7,0,no_change,3
8,0,no_change,4
9,0,change,1
10,0,change,2
11,0,change,3
12,0,change,4
13,0,no_change,1
14,0,no_change,2
15,0,no_change,3
16,0,no_change,4
17,0,change,1
18,0,change,2
19,0,change,3
20,0,change,4
21,0,no_change,1
22,0,no_change,2
23,0,no_change,3
24,0,no_change,4
25,2,change,1
26,2,change,2
27,2,change,3
28,2,change,4
29,2,no_change,1
30,2,no_change,2
31,2,no_change,3
32,2,no_change,4
33,2,change,1
34,2,change,2
35,2,change,3
36,2,change,4
37,2,no_change,1
38,2,no_change,2
39,2,no_change,3
40,2,no_change,4
41,2,change,1
42,2,change,2
43,2,change,3
44,2,change,4
45,2,no_change,1
46,2,no_change,2
47,2,no_change,3
48,2,no_change,4
49,4,change,1
50,4,change,2
51,4,change,3
52,4,change,4
53,4,no_change,1
54,4,no_change,2
55,4,no_change,3
56,4,no_change,4
57,4,change,1
58,4,change,2
59,4,change,3
60,4,change,4
61,4,no_change,1
62,4,no_change,2
63,4,no_change,3
64,4,no_change,4
65,4,change,1
66,4,change,2
67,4,change,3
68,4,change,4
69,4,no_change,1
70,4,no_change,2
71,4,no_change,3
72,4,no_change,4
73,0,change,1
74,0,change,2
75,0,change,3
76,0,change,4
77,0,no_change,1
78,0,no_change,2
79,0,no_change,3
80,0,no_change,4
81,0,change,1
82,0,change,2
83,0,change,3
84,0,change,4
85,0,no_change,1
86,0,no_change,2
87,0,no_change,3
88,0,no_change,4
89,0,change,1
90,0,change,2
91,0,change,3
92,0,change,4
93,0,no_change,1
94,0,no_change,2
95,0,no_change,3
96,0,no_change,4
97,2,change,1
98,2,change,2
99,2,change,3
100,2,change,4
101,2,no_change,1
102,2,no_change,2
103,2,no_change,3
104,2,no_change,4
105,2,change,1
106,2,change,2
107,2,change,3
108,2,change,4
109,2,no_change,1
110,2,no_change,2
111,2,no_change,3
112,2,no_change,4
113,2,change,1
114,2,change,2
115,2,change,3
116,2,change,4
117,2,no_change,1
118,2,no_change,2
119,2,no_change,3
120,2,no_change,4
121,4,change,1
122,4,change,2
123,4,change,3
124,4,change,4
125,4,no_change,1
126,4,no_change,2
127,4,no_change,3
128,4,no_change,4
129,4,change,1
130,4,change,2
131,4,change,3
132,4,change,4
133,4,no_change,1
134,4,no_change,2
135,4,no_change,3
136,4,no_change,4
137,4,change,1
138,4,change,2
139,4,change,3
140,4,change,4
141,4,no_change,1
142,4,no_change,2
143,4,no_change,3
144,4,no_change,4
